,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Dialog, Cooperative Monolog)"
and,0.00018451462830910287,0.00041707045180926433,0.00023255582350016147
for,3.0029983632947656e-05,0.00022863180235803762,0.00019860181872508997
with,3.719245464376948e-05,8.805712427663326e-05,0.00012524957892040274
or,0.0001484327061606947,5.870523521769947e-05,0.00020713794137839416
as,7.010060324325019e-06,0.00022579191072843942,0.0002187818504041144
so,7.297536915279549e-05,0.00024162315384993475,0.00016864778469713926
but,5.157407509934409e-05,3.3014957077780004e-05,1.855911802156409e-05
then,1.5200099916767694e-05,0.00012862895711287747,0.00014382905702964516
when,2.9503905525128736e-05,9.860705024235e-06,1.9643200500893735e-05
because,4.497807712805557e-05,0.00012187678088647972,7.689870375842414e-05
though,7.967567947149366e-05,7.918333908058818e-05,0.00015885901855208185
else,7.900046184885389e-05,7.900046184885389e-05,0.0
next,3.155379770785886e-05,8.460269652640798e-05,5.3048898818549114e-05
before,7.29235032450959e-05,3.1897088791221645e-05,0.00010482059203631754
if,8.922568344769366e-06,7.224828562245612e-05,8.117085396722549e-05
later,7.974680389762504e-05,0.00015467239727252479,7.492559337489974e-05
yet,7.333857858442303e-05,8.729880668113429e-05,1.396022809671126e-05
after,7.333857858442303e-05,0.00017165147246183952,9.831289387741649e-05
instead,0.0,8.388748563853224e-05,8.388748563853224e-05
