,Dialog → Monolog,Dialog → Cooperative-Monolog,Dialog → Speech,Monolog → Cooperative-Monolog,Monolog → Speech,Cooperative-Monolog → Speech
as,2.99,29.54,16.45,25.78,13.08,-10.1
when,-17.38,-45.39,-8.88,-33.9,10.29,66.85
then,1.81,-61.36,-16.64,-62.05,-18.12,115.75
before,-14.71,9.4,-12.98,28.27,2.03,-20.46
after,14.5,135.12,6.51,105.35,-6.98,-54.7
next,30.18,26.22,1.62,-3.04,-21.94,-19.49
once,42.84,59.71,17.81,11.81,-17.53,-26.24
later,24.23,153.27,42.16,103.86,14.43,-43.87
until,31.6,81.82,26.55,38.16,-3.84,-30.4
at the time,-16.59,35.05,-20.49,61.91,-4.68,-41.13
earlier,-2.66,-2.95,-21.61,-0.29,-19.47,-19.23
eventually,121.68,161.95,31.71,18.17,-40.59,-49.72
at the same time,-46.05,-65.62,26.1,-36.26,133.74,266.74
at that point,-49.81,-83.98,-64.19,-68.08,-28.65,123.54
ultimately,60.96,35.74,13.94,-15.67,-29.21,-16.06
whenever,71.43,-38.93,-12.7,-64.37,-49.07,42.94
upon,17.2,168.35,82.93,128.97,56.09,-31.83
meanwhile,112.19,410.89,8.94,140.77,-48.66,-78.68
