,Monolog,Dialog,Cooperative Monolog,Speech
and,36.61467889908257,19.746081504702193,26.59129213483146,10.233484619263741
so,11.498470948012232,7.184952978056426,1.5941011235955056,2.1563287947554213
for,9.923547400611621,6.915360501567398,8.664794007490636,2.238527483610691
but,9.382262996941895,3.949843260188088,4.977528089887641,1.8265254664649522
with,6.813455657492355,3.58307210031348,6.021067415730337,1.7201210287443267
because,5.284403669724771,1.4827586206896552,0.0,0.8688855269793243
if,4.896024464831804,3.128526645768025,2.245318352059925,1.1482602118003025
as,4.755351681957187,2.2163009404388716,5.355337078651686,1.2349974785678266
or,4.3577981651376145,2.3636363636363638,3.0088951310861423,0.9611699445284921
when,3.547400611620795,1.4921630094043887,1.6025280898876404,0.8149268784669692
then,2.36085626911315,0.9592476489028213,0.923689138576779,0.5007564296520424
also,1.871559633027523,1.0595611285266457,0.8721910112359551,0.3983862834089763
next,1.54434250764526,1.2006269592476488,1.673689138576779,0.2188603126575895
still,1.2446483180428134,0.5141065830721003,0.9728464419475655,0.2087745839636914
before,0.7737003058103975,0.3949843260188088,0.7551498127340824,0.18608169440242056
after,0.0,0.0,1.5524344569288389,0.0
