,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,19.45,14.0,28.28,5.45,8.83,14.28
so,6.47,11.49,11.08,5.02,4.61,0.41
but,6.26,4.51,7.56,1.76,1.3,3.06
for,3.71,0.93,6.81,2.77,3.1,5.88
with,3.42,2.53,5.39,0.89,1.97,2.87
because,3.44,4.98,4.23,1.55,0.79,0.75
as,2.21,0.77,3.13,2.97,0.92,3.9
when,2.48,2.09,3.16,0.39,0.68,1.07
or,1.54,1.45,3.03,0.1,1.48,1.58
if,1.64,1.65,2.72,0.01,1.08,1.06
then,1.52,2.04,2.39,0.52,0.87,0.35
also,0.68,0.43,1.26,0.25,0.58,0.83
still,0.78,0.53,0.96,0.25,0.18,0.43
before,0.52,0.17,0.9,0.35,0.38,0.73
after,0.41,0.46,0.61,0.87,0.2,1.07
while,0.0,0.7,0.0,0.7,0.0,0.7
