,News,Discussion,Science/Education,Documentary
so,31.15463917525773,52.95454545454545,31.756849315068493,7.703175333640129
and,20.195876288659793,42.30909090909091,21.65068493150685,18.595490105844455
but,8.896907216494846,19.536363636363635,7.9965753424657535,9.091578462954441
if,7.474226804123711,9.95,6.97945205479452,4.7924528301886795
for,3.804123711340206,5.9363636363636365,3.9452054794520546,5.464795213989876
when,2.443298969072165,7.972727272727273,3.660958904109589,3.180855959502991
then,2.443298969072165,5.054545454545455,2.6472602739726026,2.16428900138058
with,2.3917525773195876,4.509090909090909,2.9486301369863015,3.9719282098481363
also,2.329896907216495,2.6636363636363636,2.2226027397260273,3.149562816382881
as,2.2577319587628866,4.377272727272727,2.982876712328767,4.72710538426139
because,1.7835051546391754,6.681818181818182,1.7705479452054795,0.0
or,1.1443298969072164,1.7863636363636364,1.2773972602739727,1.3387022549470777
once,0.8762886597938144,0.0,0.0,1.3548090197883111
anyway,0.8556701030927835,0.9954545454545455,0.0,0.0
still,0.7731958762886598,2.1636363636363636,0.8356164383561644,1.2508053382420616
before,0.0,0.9272727272727272,0.0,0.0
in fact,0.0,0.0,0.8767123287671232,0.0
next,0.0,0.0,0.7705479452054794,0.0
however,0.0,0.0,0.0,2.3359410952600093
after,0.0,0.0,0.0,1.9498389323515877
