,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Science/Education, Documentary)"
and,0.03,0.08,0.09,0.05,0.06,0.01
so,0.01,0.0,0.14,0.01,0.13,0.14
for,0.03,0.0,0.04,0.03,0.07,0.04
but,0.02,0.0,0.02,0.02,0.0,0.02
with,0.01,0.01,0.04,0.02,0.05,0.04
if,0.02,0.01,0.03,0.01,0.01,0.02
as,0.01,0.01,0.06,0.02,0.08,0.06
or,0.02,0.01,0.01,0.03,0.01,0.02
because,0.03,0.0,0.05,0.03,0.09,0.05
then,0.0,0.0,0.01,0.0,0.02,0.02
when,0.03,0.02,0.02,0.01,0.01,0.0
also,0.01,0.0,0.0,0.01,0.01,0.0
next,0.02,0.0,0.0,0.02,0.02,0.01
still,0.0,0.0,0.01,0.0,0.0,0.01
before,0.0,0.01,0.01,0.01,0.01,0.03
after,0.01,0.02,0.05,0.01,0.03,0.02
