Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-0.03969123685334326,-0.31908921119412736,0.7500573132783024,no,no
"News, Science/Education",-0.0726257795422233,-0.6502186176524981,0.5163140363994061,no,no
"News, Documentary",0.07999451758135756,0.7335119647083219,0.464913654146632,no,no
"News, Presentation",-0.3357114025762568,-4.230826870358987,4.5078634273234044e-05,yes,yes
"Discussion, Science/Education",-0.040147095356929334,-0.45897077215125237,0.6464507138830404,no,no
"Discussion, Documentary",0.12684646240558314,1.7877736129247932,0.0749566364555528,no,no
"Discussion, Presentation",-0.3163819072038596,-5.913228758632289,7.118390736873828e-09,yes,yes
"Science/Education, Documentary",0.14744374598737,2.1400208237369025,0.03307436056269167,no,no
"Science/Education, Presentation",-0.2613999707717165,-4.73895975806551,2.85366575873955e-06,yes,yes
"Documentary, Presentation",-0.40264476995913734,-12.806208888185166,1.3607476487805252e-36,yes,yes
